name,pos,cap_hit,cap_percent,season,team
Adam Thielen,WR,600000,0.38,2016,Minnesota Vikings
Jeremiah Sirles,G,600000,0.38,2016,Minnesota Vikings
Blair Walsh,K,599483,0.45,2014,Minnesota Vikings
Kentrell Brothers,OLB,598170,0.35,2017,Minnesota Vikings
Laquon Treadwell,WR,592941,0.31,2019,Minnesota Vikings
Danielle Hunter,DE,591805,0.4,2015,Minnesota Vikings
Kevin McDermott,LS,585000,0.39,2015,Minnesota Vikings
Zach Line,FB,585000,0.39,2015,Minnesota Vikings
Scott Crichton,DE,584081,0.44,2014,Minnesota Vikings
Stefon Diggs,WR,581928,0.37,2016,Minnesota Vikings
Josh Metellus,S,574117,0.29,2020,Minnesota Vikings
David Morgan,TE,573864,0.34,2017,Minnesota Vikings
Mike Boone,RB,572500,0.3,2019,Minnesota Vikings
Audie Cole,ILB,570000,0.43,2014,Minnesota Vikings
Shaun Prater,CB,570000,0.43,2014,Minnesota Vikings
Mike Harris,G,570000,0.43,2014,Minnesota Vikings
Matt Asiata,RB,570000,0.43,2014,Minnesota Vikings
T.J. Clemmings,RT,566238,0.38,2015,Minnesota Vikings
Tashawn Bower,DE,560000,0.29,2018,Minnesota Vikings
Eric Wilson,OLB,558333,0.29,2018,Minnesota Vikings
Jayron Kearse,S,556056,0.33,2017,Minnesota Vikings
Matt Wile,P,555000,0.29,2018,Minnesota Vikings
Kyle Sloter,QB,555000,0.29,2018,Minnesota Vikings
C.J. Ham,RB,555000,0.29,2018,Minnesota Vikings
Tyler Conklin,TE,550257,0.29,2018,Minnesota Vikings
Edmond Robinson,OLB,542078,0.35,2016,Minnesota Vikings
Jeff Locke,P,541048,0.41,2014,Minnesota Vikings
Rashod Hill,T,540000,0.32,2017,Minnesota Vikings
Stephen Weatherly,DE,540000,0.32,2017,Minnesota Vikings
Oli Udoh,RT,536741,0.28,2019,Minnesota Vikings
Kentrell Brothers,OLB,526248,0.28,2018,Minnesota Vikings
Anthony Harris,SS,525000,0.33,2016,Minnesota Vikings
Nick Easton,C,525000,0.33,2016,Minnesota Vikings
Zac Kerin,C,525000,0.33,2016,Minnesota Vikings
Kris Boyd,CB,522314,0.27,2019,Minnesota Vikings
Jerick McKinnon,RB,521221,0.39,2014,Minnesota Vikings
Danny Isidora,G,515484,0.3,2017,Minnesota Vikings
Austin Cutting,LS,513644,0.27,2019,Minnesota Vikings
Olabisi Johnson,WR,513572,0.27,2019,Minnesota Vikings
Adam Thielen,WR,510000,0.34,2015,Minnesota Vikings
Charles Johnson,WR,510000,0.34,2015,Minnesota Vikings
Jeremiah Sirles,G,510000,0.34,2015,Minnesota Vikings
Kentrell Brothers,OLB,508170,0.32,2016,Minnesota Vikings
Devante Downs,ILB,503600,0.26,2018,Minnesota Vikings
Hercules Mata'afa,LB,496333,0.26,2019,Minnesota Vikings
MyCole Pruitt,TE,492647,0.33,2015,Minnesota Vikings
Stefon Diggs,WR,491928,0.33,2015,Minnesota Vikings
Stacy Coley,WR,489170,0.29,2017,Minnesota Vikings
Holton Hill,CB,485000,0.25,2018,Minnesota Vikings
David Morgan,TE,483864,0.31,2016,Minnesota Vikings
Mike Boone,RB,482500,0.25,2018,Minnesota Vikings
Michael Mauti,OLB,479447,0.36,2014,Minnesota Vikings
David Yankey,G,471725,0.35,2014,Minnesota Vikings
Aviante Collins,T,470000,0.28,2017,Minnesota Vikings
Tashawn Bower,DE,470000,0.28,2017,Minnesota Vikings
Eric Wilson,OLB,468333,0.28,2017,Minnesota Vikings
Jayron Kearse,S,466056,0.3,2016,Minnesota Vikings
Joe Banyard,RB,465882,0.35,2014,Minnesota Vikings
Taylor Heinicke,QB,465862,0.3,2016,Minnesota Vikings
C.J. Ham,RB,465000,0.27,2017,Minnesota Vikings
Austin Shepherd,RT,452423,0.3,2015,Minnesota Vikings
Edmond Robinson,OLB,452078,0.3,2015,Minnesota Vikings
Rashod Hill,T,450000,0.29,2016,Minnesota Vikings
Terrell Sinkfield,WR,450000,0.29,2016,Minnesota Vikings
Antone Exum,FS,448947,0.34,2014,Minnesota Vikings
Chris Jones,CB,441176,0.22,2020,Minnesota Vikings
Taylor Heinicke,QB,438333,0.29,2015,Minnesota Vikings
Andrew Sendejo,SS,437647,0.23,2019,Minnesota Vikings
Kyle Sloter,QB,437647,0.26,2017,Minnesota Vikings
Shamar Stephen,DT,436287,0.33,2014,Minnesota Vikings
Brandon Watts,OLB,435612,0.33,2014,Minnesota Vikings
Jabari Price,CB,435455,0.33,2014,Minnesota Vikings
Chigbo Anunoby,DT,435000,0.29,2015,Minnesota Vikings
Zac Kerin,C,435000,0.29,2015,Minnesota Vikings
Jordan Brailford,OLB,430588,0.22,2020,Minnesota Vikings
Casey Matthews,ILB,428000,0.29,2015,Minnesota Vikings
Adam Thielen,WR,420000,0.31,2014,Minnesota Vikings
Ameer Abdullah,RB,412586,0.22,2018,Minnesota Vikings
Chase Ford,TE,407647,0.31,2014,Minnesota Vikings
Kenrick Ellis,DT,378529,0.25,2015,Minnesota Vikings
Charles Johnson,WR,370588,0.28,2014,Minnesota Vikings
Hercules Mata'afa,LB,357354,0.18,2020,Minnesota Vikings
Brett Jones,C,352944,0.18,2020,Minnesota Vikings
Zach Line,FB,349412,0.26,2014,Minnesota Vikings
Austin Wentworth,RT,345882,0.26,2014,Minnesota Vikings
Carter Bykowski,LT,333000,0.22,2015,Minnesota Vikings
Nick Easton,C,332647,0.22,2015,Minnesota Vikings
Kai Forbath,K,312941,0.2,2016,Minnesota Vikings
Holton Hill,CB,304410,0.16,2019,Minnesota Vikings
Dylan Mabin,CB,302238,0.15,2020,Minnesota Vikings
Brandon Watts,OLB,300000,0.2,2015,Minnesota Vikings
Mack Brown,RB,285880,0.17,2017,Minnesota Vikings
Jason Trusnik,ILB,275294,0.18,2015,Minnesota Vikings
Andrew DePaola,LS,267647,0.14,2020,Minnesota Vikings
Aviante Collins,G,265588,0.14,2019,Minnesota Vikings
Chad Beebe,WR,254115,0.13,2018,Minnesota Vikings
Hardy Nickerson Jr.,ILB,214117,0.11,2020,Minnesota Vikings
Hale Hentges,TE,158824,0.08,2020,Minnesota Vikings
Stephen Weatherly,DE,158820,0.1,2016,Minnesota Vikings
Cameron Smith,LB,145588,0.08,2019,Minnesota Vikings
Craig James,CB,141175,0.07,2018,Minnesota Vikings
Justin Trattou,DE,134117,0.1,2014,Minnesota Vikings
Alexander Hollins,WR,116470,0.06,2019,Minnesota Vikings
Justin Trattou,DE,116470,0.08,2015,Minnesota Vikings
Blake Lynch,LB,107647,0.05,2020,Minnesota Vikings
Anthony Harris,SS,102352,0.07,2015,Minnesota Vikings
Zach Moore,DE,90000,0.06,2015,Minnesota Vikings
Kyle Carter,TE,82059,0.05,2017,Minnesota Vikings
Carter Bykowski,LT,74117,0.06,2014,Minnesota Vikings
Toby Johnson,DT,52940,0.03,2016,Minnesota Vikings
C.J. Ham,RB,52940,0.03,2016,Minnesota Vikings
Ahmad Dixon,S,49411,0.04,2014,Minnesota Vikings
Kyle Hinton,G,35882,0.02,2020,Minnesota Vikings
Josh Kaddu,OLB,33529,0.03,2014,Minnesota Vikings
Cornelius Edison,C,31765,0.02,2017,Minnesota Vikings
Jeff Overbaugh,LS,27353,0.02,2017,Minnesota Vikings
Isaac Fruechte,WR,26470,0.02,2016,Minnesota Vikings
Henry Josey,RB,24705,0.02,2014,Minnesota Vikings
Tom Brady,QB,22000000,12.21,2018,New England Patriots
Tom Brady,QB,21500000,10.73,2019,New England Patriots
Tom Brady,QB,14800000,10.64,2014,New England Patriots
Joe Thuney,G,14781000,7.02,2020,New England Patriots
Tom Brady,QB,14000000,8.36,2017,New England Patriots
Tom Brady,QB,14000000,9.68,2015,New England Patriots
Tom Brady,QB,13764705,8.62,2016,New England Patriots
Devin McCourty,FS,13435000,6.7,2019,New England Patriots
Devin McCourty,FS,11935000,6.62,2018,New England Patriots
Dont'a Hightower,ILB,11445305,5.71,2019,New England Patriots
Nate Solder,LT,11166418,6.66,2017,New England Patriots
Devin McCourty,FS,10935000,6.53,2017,New England Patriots
Rob Gronkowski,TE,10859375,6.03,2018,New England Patriots
Nate Solder,LT,10322666,6.47,2016,New England Patriots
Dont'a Hightower,ILB,9695305,5.38,2018,New England Patriots
Stephon Gilmore,CB,9170833,4.58,2019,New England Patriots
Stephon Gilmore,CB,8887500,4.93,2018,New England Patriots
Rob Gronkowski,TE,8650000,5.98,2015,New England Patriots
Shaq Mason,G,8587500,4.08,2020,New England Patriots
Stephon Gilmore,CB,8568750,5.11,2017,New England Patriots
Dont'a Hightower,OLB,7751000,4.86,2016,New England Patriots
Vince Wilfork,DT,7558333,5.43,2014,New England Patriots
Julian Edelman,WR,7202616,3.59,2019,New England Patriots
Sebastian Vollmer,RT,7020833,4.86,2015,New England Patriots
Darrelle Revis,CB,7000000,5.03,2014,New England Patriots
Jabaal Sheard,OLB,6812500,4.27,2016,New England Patriots
Rob Gronkowski,TE,6500000,3.88,2017,New England Patriots
Kyle Van Noy,ILB,6260418,3.12,2019,New England Patriots
Patrick Chung,SS,6200000,3.7,2017,New England Patriots
Marcus Cannon,RT,6154168,3.85,2016,New England Patriots
Jonathan Jones,CB,6018750,2.86,2020,New England Patriots
Devin McCourty,FS,6000000,4.15,2015,New England Patriots
Shaq Mason,G,5962500,2.98,2019,New England Patriots
Marcus Cannon,RT,5956250,3.31,2018,New England Patriots
Lawrence Guy,DE,5866668,2.78,2020,New England Patriots
Jason McCourty,CB,5550000,2.63,2020,New England Patriots
Chris Hogan,WR,5500000,3.45,2016,New England Patriots
Devin McCourty,FS,5400000,2.56,2020,New England Patriots
Rob Gronkowski,TE,5400000,3.88,2014,New England Patriots
Martellus Bennett,TE,5185000,3.25,2016,New England Patriots
Devin McCourty,FS,5132500,3.21,2016,New England Patriots
Marcus Cannon,RT,5122917,2.56,2019,New England Patriots
Devin McCourty,FS,5115000,3.68,2014,New England Patriots
Stephen Gostkowski,K,5000000,2.77,2018,New England Patriots
Dwayne Allen,TE,4937500,2.95,2017,New England Patriots
Rob Ninkovich,OLB,4750000,3.29,2015,New England Patriots
Duron Harmon,SS,4750000,2.37,2019,New England Patriots
Danny Amendola,WR,4700000,3.38,2014,New England Patriots
Julian Edelman,WR,4656250,3.22,2015,New England Patriots
Alan Branch,DT,4625000,2.76,2017,New England Patriots
James White,RB,4593750,2.18,2020,New England Patriots
James White,RB,4593750,2.29,2019,New England Patriots
Stephen Gostkowski,K,4500000,2.69,2017,New England Patriots
Lawrence Guy,DT,4466666,2.23,2019,New England Patriots
Julian Edelman,WR,4421875,2.77,2016,New England Patriots
Patrick Chung,SS,4342708,2.17,2019,New England Patriots
Jason McCourty,CB,4137500,2.06,2019,New England Patriots
Stephen Gostkowski,K,4100000,2.57,2016,New England Patriots
Dan Connolly,G,4083333,2.94,2014,New England Patriots
Sebastian Vollmer,RT,4083333,2.94,2014,New England Patriots
Rob Ninkovich,OLB,4014705,2.51,2016,New England Patriots
Jabaal Sheard,OLB,4000000,2.77,2015,New England Patriots
Mike Gillislee,RB,3968750,2.37,2017,New England Patriots
Julian Edelman,WR,3940361,2.19,2018,New England Patriots
Adrian Clayborn,DE,3937500,2.18,2018,New England Patriots
Malcolm Butler,CB,3910000,2.33,2017,New England Patriots
Dwayne Allen,TE,3880000,2.15,2018,New England Patriots
Stephen Gostkowski,K,3800000,2.73,2014,New England Patriots
Patrick Chung,SS,3800000,2.11,2018,New England Patriots
Mohamed Sanu,WR,3779411,1.89,2019,New England Patriots
Duron Harmon,SS,3750000,2.08,2018,New England Patriots
Lawrence Guy,DT,3666666,2.03,2018,New England Patriots
Kyle Van Noy,ILB,3666666,2.03,2018,New England Patriots
Kyle Arrington,CB,3625000,2.61,2014,New England Patriots
Stephen Gostkowski,K,3600000,2.49,2015,New England Patriots
Chris Hogan,WR,3500000,1.94,2018,New England Patriots
Duron Harmon,SS,3500000,2.09,2017,New England Patriots
Brandon LaFell,WR,3500000,2.42,2015,New England Patriots
Shaq Mason,G,3417882,1.9,2018,New England Patriots
David Andrews,C,3400000,1.61,2020,New England Patriots
Jason McCourty,CB,3382000,1.88,2018,New England Patriots
Adam Butler,DT,3259000,1.55,2020,New England Patriots
Cordarrelle Patterson,WR,3250000,1.8,2018,New England Patriots
Patrick Chung,SS,3187500,2,2016,New England Patriots
Rex Burkhead,RB,3156250,1.58,2019,New England Patriots
Rex Burkhead,RB,3150000,1.88,2017,New England Patriots
Danny Amendola,WR,3116666,2.16,2015,New England Patriots
Danny Amendola,WR,3041668,1.82,2017,New England Patriots
James White,RB,3000000,1.66,2018,New England Patriots
Matthew Slater,WR,3000000,1.5,2019,New England Patriots
Jamie Collins,OLB,3000000,1.5,2019,New England Patriots
Chris Hogan,WR,2968750,1.77,2017,New England Patriots
Matthew Slater,WR,2933334,2.11,2014,New England Patriots
Danny Amendola,WR,2885416,1.81,2016,New England Patriots
Rob Ninkovich,OLB,2850000,2.05,2014,New England Patriots
David Harris,ILB,2843750,1.7,2017,New England Patriots
Nate Ebner,FS,2818750,1.41,2019,New England Patriots
Julian Edelman,WR,2750000,1.98,2014,New England Patriots
Alan Branch,DT,2750000,1.72,2016,New England Patriots
Jonathan Jones,CB,2738750,1.37,2019,New England Patriots
Nate Solder,LT,2717429,1.95,2014,New England Patriots
Brandon Browner,CB,2715706,1.95,2014,New England Patriots
John Simon,DE,2675000,1.27,2020,New England Patriots
Sony Michel,RB,2625462,1.25,2020,New England Patriots
Marcus Cannon,RT,2616666,1.81,2015,New England Patriots
Chandler Jones,OLB,2600659,1.8,2015,New England Patriots
Isaiah Wynn,LT,2600433,1.3,2019,New England Patriots
Lawrence Guy,DE,2600000,1.55,2017,New England Patriots
Matthew Slater,WR,2575000,1.22,2020,New England Patriots
Phillip Dorsett,WR,2537500,1.27,2019,New England Patriots
Adrian Phillips,FS,2500000,1.19,2020,New England Patriots
Dont'a Hightower,OLB,2457637,1.7,2015,New England Patriots
Malcom Brown,DT,2422392,1.34,2018,New England Patriots
David Andrews,C,2400000,1.33,2018,New England Patriots
Chris Long,DE,2375000,1.49,2016,New England Patriots
N'Keal Harry,WR,2295079,1.09,2020,New England Patriots
Kyle Van Noy,ILB,2282407,1.36,2017,New England Patriots
Deatrich Wise,DE,2278140,1.08,2020,New England Patriots
Scott Chandler,TE,2250000,1.56,2015,New England Patriots
Rex Burkhead,RB,2250000,1.25,2018,New England Patriots
Shea McClellin,OLB,2233333,1.4,2016,New England Patriots
Chandler Jones,OLB,2229136,1.6,2014,New England Patriots
Joe Thuney,G,2218357,1.11,2019,New England Patriots
Sony Michel,RB,2187885,1.09,2019,New England Patriots
Nate Ebner,FS,2175000,1.21,2018,New England Patriots
Alan Branch,DT,2150000,1.49,2015,New England Patriots
Jermaine Eluemunor,G,2133000,1.01,2020,New England Patriots
Dont'a Hightower,OLB,2106546,1.51,2014,New England Patriots
Malcom Brown,DT,2076335,1.24,2017,New England Patriots
Matthew Slater,WR,2072908,1.3,2016,New England Patriots
Elandon Roberts,ILB,2050089,1.02,2019,New England Patriots
Trey Flowers,DE,2046733,1.14,2018,New England Patriots
Danny Shelton,DT,2030954,1.13,2018,New England Patriots
Matthew Slater,WR,2025000,1.12,2018,New England Patriots
Patrick Chung,SS,2000000,1.38,2015,New England Patriots
Justin Bethel,CB,2000000,0.95,2020,New England Patriots
Ryan Allen,P,2000000,1.11,2018,New England Patriots
Brandon LaFell,WR,2000000,1.44,2014,New England Patriots
Terrence Brooks,FS,1985000,0.94,2020,New England Patriots
Trenton Brown,RT,1907000,1.06,2018,New England Patriots
Ryan Allen,P,1900000,1.13,2017,New England Patriots
N'Keal Harry,WR,1836063,0.92,2019,New England Patriots
Logan Ryan,CB,1811813,1.13,2016,New England Patriots
Marcus Cannon,RT,1810634,1.3,2014,New England Patriots
Duron Harmon,SS,1804400,1.13,2016,New England Patriots
Cameron Fleming,T,1797000,1.07,2017,New England Patriots
James White,RB,1789272,1.07,2017,New England Patriots
John Simon,DE,1775000,0.89,2019,New England Patriots
Matthew Slater,WR,1766666,1.22,2015,New England Patriots
Sony Michel,RB,1750308,0.97,2018,New England Patriots
LaAdrian Waddle,RT,1750000,0.97,2018,New England Patriots
Malcom Brown,DT,1730279,1.08,2016,New England Patriots
Ryan Allen,P,1700000,1.06,2016,New England Patriots
Brandon Bolden,RB,1687500,0.84,2019,New England Patriots
James Develin,FB,1675000,0.93,2018,New England Patriots
Matthew Slater,WR,1643750,0.98,2017,New England Patriots
Ryan Wendell,C,1625000,1.17,2014,New England Patriots
Brandin Cooks,WR,1563198,0.93,2017,New England Patriots
Damiere Byrd,WR,1521875,0.72,2020,New England Patriots
Kyle Dugger,S,1514891,0.72,2020,New England Patriots
Joejuan Williams,CB,1502676,0.71,2020,New England Patriots
Cody Davis,FS,1500000,0.71,2020,New England Patriots
Dion Lewis,RB,1487500,0.89,2017,New England Patriots
Shilique Calhoun,OLB,1484375,0.7,2020,New England Patriots
Terrence Brooks,FS,1431250,0.71,2019,New England Patriots
Michael Hoomanawanui,TE,1407500,1.01,2014,New England Patriots
Phillip Dorsett,WR,1394373,0.77,2018,New England Patriots
Malcom Brown,DT,1384223,0.96,2015,New England Patriots
James Develin,FB,1375000,0.82,2017,New England Patriots
Tavon Wilson,SS,1342057,0.93,2015,New England Patriots
Dominique Easley,DT,1327918,0.95,2014,New England Patriots
David Andrews,C,1320000,0.79,2017,New England Patriots
Johnson Bademosi,CB,1300000,0.78,2017,New England Patriots
Michael Floyd,WR,1291764,0.81,2016,New England Patriots
Brandon Bolden,RB,1272500,0.8,2016,New England Patriots
Akiem Hicks,DE,1259588,0.87,2015,New England Patriots
Jonathan Freeny,OLB,1250000,0.86,2015,New England Patriots
Matt LaCosse,TE,1225000,0.61,2019,New England Patriots
Brandon King,FS,1209375,0.67,2018,New England Patriots
Joejuan Williams,CB,1202141,0.6,2019,New England Patriots
Nate Ebner,FS,1200000,0.75,2016,New England Patriots
Phillip Dorsett,WR,1174583,0.7,2017,New England Patriots
Tavon Wilson,SS,1150335,0.83,2014,New England Patriots
Cam Newton,QB,1137500,0.54,2020,New England Patriots
LaAdrian Waddle,RT,1125000,0.67,2017,New England Patriots
John Simon,DE,1105699,0.61,2018,New England Patriots
Shane Vereen,RB,1101275,0.79,2014,New England Patriots
LaAdrian Waddle,RT,1087500,0.68,2016,New England Patriots
Dion Lewis,RB,1087500,0.68,2016,New England Patriots
Ryan Allen,P,1085500,0.75,2015,New England Patriots
Joe Cardona,LS,1080000,0.51,2020,New England Patriots
Patrick Chung,SS,1070000,0.77,2014,New England Patriots
Brandon Bolden,RB,1035000,0.72,2015,New England Patriots
Danny Shelton,DT,1030000,0.51,2019,New England Patriots
Jamie Collins,OLB,1025727,0.71,2015,New England Patriots
LeGarrette Blount,RB,1025000,0.64,2016,New England Patriots
Jordan Richards,SS,1012240,0.6,2017,New England Patriots
Joe Cardona,LS,955000,0.48,2019,New England Patriots
Jimmy Garoppolo,QB,950154,0.6,2016,New England Patriots
Benjamin Watson,TE,940000,0.47,2019,New England Patriots
Stevan Ridley,RB,939750,0.68,2014,New England Patriots
Chase Winovich,DE,930328,0.44,2020,New England Patriots
Brian Hoyer,QB,915000,0.51,2018,New England Patriots
Eric Rowe,CB,878623,0.52,2017,New England Patriots
Duke Dawson,CB,862704,0.48,2018,New England Patriots
Joe Cardona,LS,860000,0.48,2018,New England Patriots
Joe Thuney,G,858357,0.48,2018,New England Patriots
Jamie Collins,OLB,854773,0.61,2014,New England Patriots
Jordan Richards,SS,843534,0.53,2016,New England Patriots
Anfernee Jennings,LB,835794,0.4,2020,New England Patriots
Josh Kline,G,835000,0.58,2015,New England Patriots
Jarrett Stidham,QB,833423,0.4,2020,New England Patriots
Devin Asiasi,TE,833240,0.4,2020,New England Patriots
Ja'whaun Bentley,ILB,825988,0.39,2020,New England Patriots
Jimmy Garoppolo,QB,791795,0.55,2015,New England Patriots
Deatrich Wise,DE,790140,0.39,2019,New England Patriots
Derek Rivers,OLB,783724,0.43,2018,New England Patriots
Dalton Keene,TE,781010,0.37,2020,New England Patriots
Aaron Dobson,WR,779175,0.56,2014,New England Patriots
Joe Thuney,G,768357,0.46,2017,New England Patriots
Trey Flowers,DE,754733,0.45,2017,New England Patriots
J.C. Jackson,CB,753334,0.36,2020,New England Patriots
Brian Hoyer,QB,750000,0.36,2020,New England Patriots
Korey Cunningham,RT,750000,0.36,2020,New England Patriots
James Develin,FB,750000,0.47,2016,New England Patriots
Jake Bailey,P,747245,0.35,2020,New England Patriots
Logan Ryan,CB,745813,0.52,2015,New England Patriots
Chase Winovich,DE,744328,0.37,2019,New England Patriots
Cyrus Jones,CB,728491,0.46,2016,New England Patriots
James Ferentz,C,727941,0.35,2020,New England Patriots
Shaq Mason,G,725881,0.43,2017,New England Patriots
Duron Harmon,SS,724400,0.5,2015,New England Patriots
Byron Cowart,DT,720449,0.34,2020,New England Patriots
James Ferentz,C,720000,0.36,2019,New England Patriots
Shilique Calhoun,OLB,720000,0.36,2019,New England Patriots
Ted Karras,C,720000,0.36,2019,New England Patriots
Damien Harris,RB,716534,0.36,2019,New England Patriots
Nick Folk,K,705882,0.34,2020,New England Patriots
Deatrich Wise,DE,700140,0.39,2018,New England Patriots
James White,RB,699272,0.44,2016,New England Patriots
Marquis Flowers,OLB,690000,0.41,2017,New England Patriots
Joe Cardona,LS,685000,0.41,2017,New England Patriots
Nate Ebner,FS,684150,0.47,2015,New England Patriots
Jakobi Meyers,WR,678333,0.32,2020,New England Patriots
Barkevious Mingo,OLB,675000,0.42,2016,New England Patriots
Jakob Johnson,FB,675000,0.32,2020,New England Patriots
Jordan Richards,SS,674827,0.47,2015,New England Patriots
Brandon Gibson,WR,665000,0.46,2015,New England Patriots
Trey Flowers,DE,664733,0.42,2016,New England Patriots
Mike Onwenu,G,660619,0.31,2020,New England Patriots
James Develin,FB,660000,0.46,2015,New England Patriots
Sealver Siliga,DT,660000,0.46,2015,New England Patriots
Eric Rowe,CB,656811,0.41,2016,New England Patriots
Logan Ryan,CB,655813,0.47,2014,New England Patriots
Elandon Roberts,OLB,655089,0.36,2018,New England Patriots
Bryan Stork,C,654794,0.45,2015,New England Patriots
Jarrett Stidham,QB,653423,0.33,2019,New England Patriots
Adam Butler,DT,646668,0.32,2019,New England Patriots
Ja'whaun Bentley,ILB,645988,0.32,2019,New England Patriots
Danny Aiken,LS,645000,0.46,2014,New England Patriots
Jermaine Eluemunor,G,645000,0.32,2019,New England Patriots
Chris White,ILB,645000,0.46,2014,New England Patriots
Joe Thuney,G,643357,0.4,2016,New England Patriots
Shaq Mason,G,635881,0.4,2016,New England Patriots
Duron Harmon,SS,633900,0.46,2014,New England Patriots
Jimmy Garoppolo,QB,633436,0.46,2014,New England Patriots
Jonathan Jones,CB,633334,0.35,2018,New England Patriots
Gunner Olszewski,WR,631715,0.3,2020,New England Patriots
Ted Karras,G,630000,0.35,2018,New England Patriots
Keshawn Martin,WR,621176,0.43,2015,New England Patriots
Akeem Ayers,OLB,615762,0.44,2014,New England Patriots
Brandon Bolden,RB,615000,0.37,2017,New England Patriots
Brandon King,FS,615000,0.37,2017,New England Patriots
Vincent Valentine,DT,611355,0.38,2016,New England Patriots
Deatrich Wise,DE,610140,0.36,2017,New England Patriots
J.J. Taylor,RB,610000,0.29,2020,New England Patriots
James White,RB,609272,0.42,2015,New England Patriots
Marshall Newhouse,RT,607059,0.3,2019,New England Patriots
Cameron Fleming,T,600000,0.38,2016,New England Patriots
Malcolm Butler,CB,600000,0.38,2016,New England Patriots
Malcolm Mitchell,WR,594498,0.37,2016,New England Patriots
Nate Ebner,FS,594150,0.43,2014,New England Patriots
Joe Cardona,LS,587500,0.37,2016,New England Patriots
Alfonzo Dennard,CB,584462,0.42,2014,New England Patriots
Jonathan Casillas,OLB,582352,0.42,2014,New England Patriots
Geno Grissom,DE,580488,0.4,2015,New England Patriots
Brandon Bolden,RB,574584,0.41,2014,New England Patriots
Myles Bryant,CB,574117,0.27,2020,New England Patriots
J.C. Jackson,CB,573333,0.29,2019,New England Patriots
Justin Herron,LT,573109,0.27,2020,New England Patriots
James Develin,FB,570000,0.41,2014,New England Patriots
Korey Cunningham,T,570000,0.28,2019,New England Patriots
Byron Cowart,DT,569861,0.28,2019,New England Patriots
Jake Bailey,P,567245,0.28,2019,New England Patriots
Tre' Jackson,G,565935,0.39,2015,New England Patriots
Elandon Roberts,ILB,565089,0.34,2017,New England Patriots
Adam Butler,DT,556666,0.31,2018,New England Patriots
Justin Bethel,CB,547058,0.27,2019,New England Patriots
Jon Bostic,ILB,546209,0.38,2015,New England Patriots
Shaq Mason,G,545881,0.38,2015,New England Patriots
Ted Karras,G,540000,0.32,2017,New England Patriots
Bryan Stork,C,539250,0.39,2014,New England Patriots
Jacoby Brissett,QB,530675,0.33,2016,New England Patriots
David Andrews,C,530000,0.33,2016,New England Patriots
Brandon King,FS,525000,0.33,2016,New England Patriots
Justin Coleman,CB,525000,0.33,2016,New England Patriots
James White,RB,519272,0.37,2014,New England Patriots
Ryan Izzo,TE,512267,0.26,2019,New England Patriots
Malcolm Butler,CB,510000,0.35,2015,New England Patriots
Keion Crossen,CB,498598,0.28,2018,New England Patriots
Jakobi Meyers,WR,498333,0.25,2019,New England Patriots
Ryan Allen,P,495500,0.36,2014,New England Patriots
Cameron Fleming,T,495146,0.36,2014,New England Patriots
Tim Wright,TE,495000,0.36,2014,New England Patriots
Joe Vellano,DT,495000,0.36,2014,New England Patriots
Josh Kline,G,495000,0.36,2014,New England Patriots
Chris Jones,DT,495000,0.36,2014,New England Patriots
J.C. Jackson,CB,483333,0.27,2018,New England Patriots
Keionta Davis,DE,480000,0.27,2018,New England Patriots
Joe Cardona,LS,477500,0.33,2015,New England Patriots
Brian Hoyer,QB,476470,0.28,2017,New England Patriots
Ted Karras,G,475089,0.3,2016,New England Patriots
Elandon Roberts,ILB,475089,0.3,2016,New England Patriots
Jacob Hollister,TE,468333,0.28,2017,New England Patriots
Cole Croston,T,467000,0.28,2017,New England Patriots
Adam Butler,DT,466666,0.28,2017,New England Patriots
Jonathan Jones,CB,453333,0.28,2016,New England Patriots
Kyle Van Noy,ILB,446370,0.28,2016,New England Patriots
Zach Moore,DE,445550,0.32,2014,New England Patriots
David Andrews,C,440000,0.3,2015,New England Patriots
Justin Coleman,CB,435000,0.3,2015,New England Patriots
Michael Williams,TE,435000,0.3,2015,New England Patriots
Malcolm Butler,CB,420000,0.3,2014,New England Patriots
Jordan Devey,G,420000,0.3,2014,New England Patriots
Cody Kessler,QB,381176,0.19,2019,New England Patriots
Brian Tyms,WR,378529,0.27,2014,New England Patriots
Sealver Siliga,DT,374824,0.27,2014,New England Patriots
Geno Grissom,DE,370588,0.23,2016,New England Patriots
Cameron Fleming,T,360000,0.25,2015,New England Patriots
A.J. Derby,TE,346013,0.24,2015,New England Patriots
James Ferentz,C,333531,0.19,2018,New England Patriots
Brandon King,FS,332647,0.23,2015,New England Patriots
Darryl Roberts,CB,331555,0.23,2015,New England Patriots
Akeem Spence,DT,330147,0.16,2020,New England Patriots
Terez Hall,LB,322941,0.15,2020,New England Patriots
Tyler Gaffney,RB,318000,0.22,2015,New England Patriots
Tyler Gaffney,RB,303000,0.22,2014,New England Patriots
James Morris,ILB,303000,0.22,2014,New England Patriots
Alan Branch,DT,301765,0.22,2014,New England Patriots
Albert McClellan,OLB,296471,0.16,2018,New England Patriots
Jonas Gray,RB,271765,0.2,2014,New England Patriots
Donte Moncrief,WR,267647,0.13,2020,New England Patriots
Obi Melifonwu,S,261176,0.14,2018,New England Patriots
Ramon Humber,OLB,259413,0.14,2018,New England Patriots
LeGarrette Blount,RB,257647,0.19,2014,New England Patriots
Nick Folk,K,242352,0.12,2019,New England Patriots
